Date,Close,Change,Open,High,Low,Volume,Tziros
22/5/2020,0.12,"-0,6369%","0,1256","0,1256","0,1162",151.271,"18.493,63"
25/5/2020,0.12,"-0,1603%",129,129,"0,1202",159.289,"19.706,24"
26/5/2020,0.13,"1,2841%",124,128,"0,1218",380.801,"47.298,88"
27/5/2020,0.14,"8,7163%",129,"0,1372","0,1262",604.176,"80.588,82"
28/5/2020,0.13,"-5,2478%","0,1372","0,14","0,1282",704.168,"94.361,98"
29/5/2020,0.13,"-2,3077%","0,1318","0,1318","0,1222",435.97,"55.687,41"
01/6/2020,0.13,"2,3622%","0,1334","0,1338",127,454.149,"58.795,65"
02/6/2020,0.13,"0,0000%",134,"0,1346","0,1294",635.335,"83.432,19"
03/6/2020,0.14,"3,8462%","0,1286","0,1376","0,1282",813.128,"108.413,92"
04/6/2020,0.13,"-0,2963%",135,"0,1388","0,13",412.051,"55.142,40"
05/6/2020,0.13,"-4,0119%","0,1318","0,1354","0,1264",923.274,"119.497,16"
09/6/2020,0.13,"0,6192%",133,"0,1334","0,1284",408.68,"53.071,41"
10/6/2020,0.13,"-1,6923%",131,"0,1322",126,243.68,"31.452,91"
11/6/2020,0.12,"-2,8169%",125,"0,1268","0,1236",420.171,"52.220,31"
12/6/2020,0.13,"0,6441%","0,1212",128,121,403.626,"50.306,02"
15/6/2020,0.12,"-0,6400%","0,1208",125,"0,12",133.335,"16.456,33"
16/6/2020,0.13,"5,4750%","0,1242",132,"0,1242",384.401,"50.035,34"
17/6/2020,0.13,"-0,9160%","0,1268",131,126,304.95,"39.271,71"
18/6/2020,0.13,"-2,9276%",126,132,126,394.109,"50.749,70"
19/6/2020,0.14,"7,1429%",126,138,126,751.395,"100.324,75"
22/6/2020,0.14,"1,4815%","0,1318","0,1388",129,403.541,"53.854,15"
23/6/2020,0.14,"3,6496%",135,145,135,479.778,"68.071,82"
24/6/2020,0.14,"0,0000%",142,"0,1448","0,14",531.21,"75.576,79"
25/6/2020,0.14,"-1,4085%",142,145,"0,14",311.749,"44.196,24"
26/6/2020,0.15,"5,4286%",141,"0,1498","0,1404",270.663,"39.382,88"
29/6/2020,0.14,"-3,7940%",144,"0,1474","0,14",484.809,"69.203,18"
30/6/2020,0.14,"0,5634%","0,14","0,15","0,14",289.412,"41.917,71"
01/7/2020,0.15,"2,6611%","0,1414","0,15","0,1414",244.37,"35.697,36"
02/7/2020,0.15,"-0,9550%","0,1496","0,1496",144,172.466,"25.202,37"
03/7/2020,0.14,"-1,5152%","0,1442","0,1464",142,189.122,"27.148,35"
06/7/2020,0.14,"0,0000%",143,"0,1478",143,200.271,"28.800,49"
07/7/2020,0.14,"-4,1958%","0,1402",143,137,257.018,"35.801,52"
08/7/2020,0.14,"-0,7299%","0,1372","0,1372","0,1352",230.208,"31.378,99"
09/7/2020,0.11,"-19,8529%",109,109,109,193.064,"21.202,98"
10/7/2020,0.09,"-19,7248%","0,0875","0,0875","0,0875",224.289,"19.625,29"
13/7/2020,0.09,"5,1429%",91,92,91,1.593.497,"145.539,04"
14/7/2020,0.08,"-11,4130%","0,0885","0,0885","0,0815",379.71,"32.475,91"
15/7/2020,0.08,"0,6135%",72,82,72,867.312,"67.848,19"
16/7/2020,0.10,"17,0732%",82,96,82,699.303,"63.599,67"
17/7/2020,0.09,"-6,2500%",98,98,"0,09",653.149,"62.325,00"
20/7/2020,0.10,"8,3333%",95,"0,0975",94,163.025,"15.600,85"
21/7/2020,0.10,"-2,5641%","0,1",107,95,449.453,"44.486,95"
22/7/2020,0.10,"4,2105%","0,09",99,"0,09",259.082,"24.300,05"
23/7/2020,0.10,"-4,0404%","0,0915","0,0995","0,0915",197.149,"18.420,66"
24/7/2020,0.10,"4,7368%",98,"0,1",98,357.35,"35.402,50"
27/7/2020,0.10,"-1,0050%","0,0985","0,1","0,0985",159.851,"15.756,42"
28/7/2020,0.09,"-4,5685%",95,95,94,245.877,"23.145,95"
29/7/2020,0.10,"7,4468%",94,101,94,640.943,"61.864,86"
30/7/2020,0.11,"8,9109%",106,"0,11",106,780.088,"84.352,75"
31/7/2020,0.12,"8,1818%",115,119,115,448.463,"52.422,75"
03/8/2020,0.12,"-3,3613%",111,115,111,415.505,"46.993,98"
04/8/2020,0.11,"-1,7391%",111,114,111,248.666,"27.818,40"
05/8/2020,0.14,"19,4690%",134,135,134,506.306,"68.061,31"
06/8/2020,0.14,"4,4444%",145,145,"0,14",471.291,"67.522,50"
07/8/2020,0.14,"-4,2553%",145,145,"0,13",234.405,"32.482,10"
10/8/2020,0.11,"-16,2963%","0,13","0,13",113,288.105,"36.379,27"
11/8/2020,0.12,"5,3097%",116,121,116,229.642,"26.947,63"
12/8/2020,0.12,"0,0000%",115,119,115,140.994,"16.361,23"
13/8/2020,0.11,"-5,0420%",115,122,113,156.376,"18.003,56"
14/8/2020,0.13,"18,5841%","0,12",135,"0,12",342.531,"43.576,96"
